branch_id,branch_name,address,city,state,postal_code,phone,hours,services
BR051,Miami Branch 51,6563 Hickory Drive,Miami,FL,48441,+1-574-561-2171,"Mon-Fri 9AM-5PM, Sat 9AM-1PM","deposits,withdrawals,loans,investments"
BR052,Sacramento Branch 52,4529 Poplar Road,Sacramento,CA,68295,+1-633-104-9058,"Mon-Fri 9AM-5PM, Sat 9AM-1PM","deposits,withdrawals,loans,investments"
BR053,Las Vegas Branch 53,5885 Pine Road,Las Vegas,NV,52011,+1-765-762-2820,"Mon-Fri 9AM-5PM, Sat 9AM-1PM","deposits,withdrawals,loans,investments"
BR054,Cleveland Branch 54,9539 Redwood Place,Cleveland,OH,79861,+1-940-280-7867,"Mon-Fri 9AM-5PM, Sat 9AM-1PM","deposits,withdrawals,loans,investments"
BR055,Cleveland Branch 55,9820 Hickory Drive,Cleveland,OH,11995,+1-350-695-5841,"Mon-Fri 9AM-5PM, Sat 9AM-1PM","deposits,withdrawals,loans,investments"
BR056,Atlanta Branch 56,6692 Elm Boulevard,Atlanta,GA,60798,+1-898-539-2818,"Mon-Fri 9AM-5PM, Sat 9AM-1PM","deposits,withdrawals,loans,investments"
BR057,Pittsburgh Branch 57,8639 Cypress Path,Pittsburgh,PA,85940,+1-310-942-3105,"Mon-Fri 9AM-5PM, Sat 9AM-1PM","deposits,withdrawals,loans,investments"
BR058,Nashville Branch 58,1106 Willow Way,Nashville,TN,59659,+1-630-359-2944,"Mon-Fri 9AM-5PM, Sat 9AM-1PM","deposits,withdrawals,loans,investments"
BR059,Milwaukee Branch 59,5095 Cedar Lane,Milwaukee,WI,50714,+1-216-162-9918,"Mon-Fri 9AM-5PM, Sat 9AM-1PM","deposits,withdrawals,loans,investments"
BR060,Raleigh Branch 60,6922 Hickory Drive,Raleigh,NC,30984,+1-951-231-6149,"Mon-Fri 9AM-5PM, Sat 9AM-1PM","deposits,withdrawals,loans,investments"
