transaction_id,account_id,amount,currency,transaction_type,error_code,error_message,attempted_date,merchant
FTXN0000001,ACC00000190,519.98,USD,debit,E004,Expired card,2025-09-11,Walmart
FTXN0000002,ACC00000622,885.34,USD,debit,E004,Expired card,2026-07-27,Costco
FTXN0000003,ACC00000784,259.21,USD,debit,E003,Invalid PIN,2026-04-11,Costco
FTXN0000004,ACC00000138,1053.98,USD,debit,E002,Card declined,2026-08-17,Walmart
FTXN0000005,ACC00000390,1090.56,USD,debit,E002,Card declined,2026-11-22,Amazon
FTXN0000006,ACC00000199,37.79,USD,debit,E003,Invalid PIN,2026-01-11,Restaurant
FTXN0000007,ACC00000142,743.86,USD,debit,E003,Invalid PIN,2025-09-17,Gas Station
FTXN0000008,ACC00000533,1982.55,USD,debit,E005,Fraud suspected,2025-04-30,Walmart
FTXN0000009,ACC00000553,1745.64,USD,debit,E003,Invalid PIN,2025-01-05,Gas Station
FTXN0000010,ACC00000308,527.13,USD,debit,E001,Insufficient funds,2026-05-31,Target
FTXN0000011,ACC00000238,429.15,USD,debit,E001,Insufficient funds,2025-09-04,Target
FTXN0000012,ACC00000109,311.18,USD,debit,E003,Invalid PIN,2026-12-19,Best Buy
FTXN0000013,ACC00000169,1436.58,USD,debit,E002,Card declined,2026-10-05,Amazon
FTXN0000014,ACC00000449,1784.42,USD,debit,E004,Expired card,2026-02-13,Walmart
FTXN0000015,ACC00000298,313.21,USD,debit,E003,Invalid PIN,2026-02-14,Walmart
FTXN0000016,ACC00000422,16.36,USD,debit,E005,Fraud suspected,2025-04-10,Target
FTXN0000017,ACC00000126,1772.21,USD,debit,E001,Insufficient funds,2025-02-13,Gas Station
FTXN0000018,ACC00000434,591.67,USD,debit,E005,Fraud suspected,2025-07-02,Costco
FTXN0000019,ACC00000618,1648.41,USD,debit,E003,Invalid PIN,2025-04-12,Amazon
FTXN0000020,ACC00000798,1847.31,USD,debit,E002,Card declined,2025-12-14,Amazon
FTXN0000021,ACC00000025,1141.05,USD,debit,E005,Fraud suspected,2025-12-25,Amazon
FTXN0000022,ACC00000595,1117.09,USD,debit,E003,Invalid PIN,2025-12-06,Amazon
FTXN0000023,ACC00000163,1553.83,USD,debit,E002,Card declined,2025-11-10,Walmart
FTXN0000024,ACC00000331,1740.07,USD,debit,E003,Invalid PIN,2026-01-14,Walmart
FTXN0000025,ACC00000314,1819.58,USD,debit,E002,Card declined,2026-01-28,Target
FTXN0000026,ACC00000655,1860.93,USD,debit,E001,Insufficient funds,2025-01-16,Gas Station
FTXN0000027,ACC00000299,1074.17,USD,debit,E004,Expired card,2025-10-05,Target
FTXN0000028,ACC00000767,709.66,USD,debit,E002,Card declined,2025-02-19,Costco
FTXN0000029,ACC00000683,1248.9,USD,debit,E003,Invalid PIN,2026-05-26,Costco
FTXN0000030,ACC00000350,811.21,USD,debit,E001,Insufficient funds,2025-04-26,Best Buy
FTXN0000031,ACC00000683,1381.4,USD,debit,E001,Insufficient funds,2026-06-28,Restaurant
FTXN0000032,ACC00000078,1967.38,USD,debit,E004,Expired card,2026-05-30,Restaurant
FTXN0000033,ACC00000301,384.67,USD,debit,E004,Expired card,2026-08-30,Best Buy
FTXN0000034,ACC00000551,1395.23,USD,debit,E001,Insufficient funds,2025-06-28,Costco
FTXN0000035,ACC00000770,1358.32,USD,debit,E003,Invalid PIN,2026-03-22,Amazon
FTXN0000036,ACC00000205,293.36,USD,debit,E002,Card declined,2026-12-20,Restaurant
FTXN0000037,ACC00000172,683.62,USD,debit,E003,Invalid PIN,2026-11-23,Gas Station
FTXN0000038,ACC00000011,959.98,USD,debit,E003,Invalid PIN,2025-02-19,Amazon
FTXN0000039,ACC00000338,933.76,USD,debit,E003,Invalid PIN,2025-09-20,Gas Station
FTXN0000040,ACC00000588,188.15,USD,debit,E005,Fraud suspected,2026-11-15,Costco
FTXN0000041,ACC00000008,923.12,USD,debit,E005,Fraud suspected,2025-03-02,Costco
FTXN0000042,ACC00000687,1407.05,USD,debit,E003,Invalid PIN,2026-06-05,Costco
FTXN0000043,ACC00000495,641.51,USD,debit,E004,Expired card,2026-11-07,Target
FTXN0000044,ACC00000617,13.63,USD,debit,E001,Insufficient funds,2026-07-10,Restaurant
FTXN0000045,ACC00000235,833.75,USD,debit,E001,Insufficient funds,2026-08-22,Gas Station
FTXN0000046,ACC00000565,1288.48,USD,debit,E002,Card declined,2026-05-27,Gas Station
FTXN0000047,ACC00000733,1394.05,USD,debit,E002,Card declined,2026-11-20,Walmart
FTXN0000048,ACC00000243,339.94,USD,debit,E005,Fraud suspected,2025-11-14,Costco
FTXN0000049,ACC00000685,29.92,USD,debit,E005,Fraud suspected,2025-06-08,Gas Station
FTXN0000050,ACC00000565,1820.22,USD,debit,E004,Expired card,2025-10-24,Target
