investment_id,account_id,asset_type,symbol,quantity,purchase_price,current_price,current_value,purchase_date
INV000101,ACC00001028,bond,BND,218.74,288.16,395.83,86583.85,2026-05-06
INV000102,ACC00000924,mutual_fund,PYPL,3.11,181.74,131.35,408.5,2024-09-28
INV000103,ACC00000820,bond,AGG,421.55,333.71,368.22,155223.14,2026-08-29
INV000104,ACC00000981,stock,BND,272.94,210.61,223.68,61051.22,2024-08-30
INV000105,ACC00000909,etf,VTI,396.77,449.25,419.35,166385.5,2026-03-16
INV000106,ACC00000901,stock,MSFT,240.32,251.95,189.8,45612.74,2024-03-15
INV000107,ACC00000806,bond,PYPL,487.95,407.7,561.87,274164.47,2026-01-07
INV000108,ACC00000859,etf,TLT,466.4,217.6,319.19,148870.22,2025-09-10
INV000109,ACC00000978,stock,COIN,232.79,77.59,84.34,19633.51,2026-03-03
INV000110,ACC00001054,stock,PYPL,87.39,143.6,201.91,17644.91,2026-04-02
INV000111,ACC00000833,mutual_fund,SPY,206.92,431.26,348.34,72078.51,2024-01-19
INV000112,ACC00000828,etf,DIS,369.96,485.42,455.37,168468.69,2026-10-17
INV000113,ACC00001070,bond,DIS,264.95,65.84,51.01,13515.1,2026-03-01
INV000114,ACC00000874,etf,AAPL,91.05,173.19,207.64,18905.62,2024-11-01
INV000115,ACC00001136,mutual_fund,QQQ,292.61,420.28,443.45,129757.9,2025-04-14
INV000116,ACC00001127,bond,SHOP,465.84,349.6,248.13,115588.88,2024-01-02
INV000117,ACC00000926,bond,AGG,91.61,60.57,54.81,5021.14,2026-06-06
INV000118,ACC00000864,etf,PLTR,40.25,111.0,144.13,5801.23,2026-11-29
INV000119,ACC00000895,mutual_fund,AMD,264.94,370.71,403.38,106871.5,2025-08-28
INV000120,ACC00001012,mutual_fund,AMZN,448.78,219.78,198.22,88957.17,2024-07-01
INV000121,ACC00001073,mutual_fund,DIS,60.51,304.06,258.08,15616.42,2025-08-11
INV000122,ACC00001114,bond,SPY,260.75,349.07,483.04,125952.68,2026-12-21
INV000123,ACC00000999,stock,MSFT,492.18,363.27,415.54,204520.48,2026-10-19
INV000124,ACC00001076,mutual_fund,BND,188.54,216.55,262.77,49542.66,2025-03-11
INV000125,ACC00000854,stock,AGG,470.12,97.08,77.21,36297.97,2025-07-22
INV000126,ACC00001142,etf,TLT,161.92,111.97,145.96,23633.84,2026-03-15
INV000127,ACC00000940,bond,SQ,356.07,233.36,219.26,78071.91,2025-04-07
INV000128,ACC00000888,etf,VTI,478.91,493.81,520.68,249358.86,2024-01-19
INV000129,ACC00000913,stock,VOO,191.35,100.55,145.38,27818.46,2026-08-28
INV000130,ACC00001148,bond,QQQ,393.79,392.9,371.64,146348.12,2026-03-08
INV000131,ACC00000841,stock,VOO,211.53,355.72,505.13,106850.15,2024-04-08
INV000132,ACC00000838,bond,DIS,150.57,424.44,343.89,51779.52,2025-11-08
INV000133,ACC00000903,bond,VOO,43.88,394.17,298.69,13106.52,2026-07-14
INV000134,ACC00000804,etf,NFLX,187.73,461.26,615.35,115519.66,2026-11-02
INV000135,ACC00000960,stock,SPY,334.68,68.19,68.52,22932.27,2026-07-19
INV000136,ACC00000931,stock,META,481.45,478.68,572.17,275471.25,2026-12-03
INV000137,ACC00000823,etf,SPY,424.7,108.21,147.59,62681.47,2026-12-31
INV000138,ACC00000834,stock,TLT,173.38,106.51,129.26,22411.1,2024-08-01
INV000139,ACC00001033,mutual_fund,NFLX,205.85,469.83,377.59,77726.9,2025-07-25
INV000140,ACC00000974,mutual_fund,BND,73.26,329.68,448.37,32847.59,2026-09-08
INV000141,ACC00001087,etf,META,16.88,382.67,449.95,7595.16,2024-03-06
INV000142,ACC00000814,etf,SHOP,178.16,474.92,342.81,61075.03,2026-11-04
INV000143,ACC00000916,bond,AMZN,311.18,308.65,331.6,103187.29,2026-06-21
INV000144,ACC00000860,etf,SPY,410.48,303.52,415.9,170718.63,2025-03-18
INV000145,ACC00000847,mutual_fund,AMD,8.73,349.87,346.38,3023.9,2026-11-02
INV000146,ACC00001088,etf,TLT,251.24,222.48,166.85,41919.39,2026-10-11
INV000147,ACC00000894,etf,TLT,421.66,62.03,71.92,30325.79,2026-08-27
INV000148,ACC00001143,etf,IWM,410.03,109.88,133.1,54574.99,2026-07-19
INV000149,ACC00000987,etf,GOOGL,62.84,118.68,99.2,6233.73,2024-06-11
INV000150,ACC00000867,bond,AGG,299.69,122.87,139.02,41662.9,2025-04-22
