loan_id,account_id,loan_type,principal,interest_rate,term_months,monthly_payment,outstanding,start_date,end_date,status
LOAN000201,ACC00000888,mortgage,921723.0,8.01,360,6769.7,38405.12,2024-07-18,2054-02-11,active
LOAN000202,ACC00001087,auto,16469.37,12.84,36,553.65,4117.34,2025-05-19,2028-05-03,active
LOAN000203,ACC00001024,auto,76184.73,13.48,72,1548.71,17988.06,2023-11-21,2029-10-20,active
LOAN000204,ACC00001078,mortgage,998967.63,13.39,240,11982.3,591055.85,2025-03-07,2044-11-22,active
LOAN000205,ACC00001057,auto,51116.34,12.56,48,1360.19,3194.77,2023-06-21,2027-05-31,active
LOAN000206,ACC00000900,business,300331.03,9.66,24,13811.67,112624.14,2024-06-17,2026-06-07,active
LOAN000207,ACC00000925,business,316887.59,4.43,24,13821.55,224462.04,2023-08-08,2025-07-28,active
LOAN000208,ACC00001101,mortgage,233368.45,9.48,180,2434.08,62231.59,2026-01-22,2040-11-04,active
LOAN000209,ACC00000921,mortgage,889689.92,4.93,180,7003.21,434959.52,2026-07-29,2041-05-11,active
LOAN000210,ACC00000967,auto,59660.66,7.82,72,1040.81,54688.94,2025-07-09,2031-06-08,active
LOAN000211,ACC00000928,personal,38374.57,7.33,24,1723.88,7994.7,2025-06-16,2027-06-06,active
LOAN000212,ACC00000987,auto,43954.48,11.23,36,1443.81,0.0,2025-07-24,2028-07-08,active
LOAN000213,ACC00000945,auto,22836.67,10.68,60,492.89,4947.95,2023-04-14,2028-03-18,active
LOAN000214,ACC00000840,auto,71725.64,6.05,36,2183.66,3984.76,2024-07-07,2027-06-22,active
LOAN000215,ACC00000886,business,371513.85,12.86,36,12492.73,175437.1,2023-03-23,2026-03-07,paid_off
LOAN000216,ACC00000990,business,251632.47,12.86,60,5707.39,213887.6,2026-07-04,2031-06-08,active
LOAN000217,ACC00001090,business,331590.13,4.91,24,14533.96,69081.28,2024-12-12,2026-12-02,active
LOAN000218,ACC00001008,mortgage,913052.77,10.03,180,9828.48,126812.88,2023-09-29,2038-07-12,active
LOAN000219,ACC00000848,business,328165.05,4.67,36,9786.85,282586.57,2024-10-04,2027-09-19,paid_off
LOAN000220,ACC00000948,personal,27047.95,7.97,24,1222.94,9015.98,2025-06-24,2027-06-14,active
LOAN000221,ACC00001069,business,62350.97,8.46,36,1967.11,57155.06,2024-02-12,2027-01-27,active
LOAN000222,ACC00001025,personal,42754.82,12.1,36,1422.11,36816.65,2025-01-14,2027-12-30,paid_off
LOAN000223,ACC00001073,personal,37856.08,7.23,24,1698.86,1577.34,2026-02-06,2028-01-27,active
LOAN000224,ACC00000918,business,271762.81,9.4,24,12465.35,135881.4,2026-06-18,2028-06-07,paid_off
LOAN000225,ACC00000985,auto,35684.66,10.23,72,665.23,9912.41,2024-11-18,2030-10-18,active
LOAN000226,ACC00000810,personal,5494.82,12.09,36,182.74,5189.55,2024-10-31,2027-10-16,active
LOAN000227,ACC00001024,auto,44696.5,5.95,36,1358.74,2483.14,2025-10-18,2028-10-02,active
