transaction_id,account_id,amount,currency,transaction_type,description,status,created_date,expected_clear
TXN00000151,ACC00000761,7754.22,USD,credit,Transfer In - Savings,processing,2026-02-02 15:42:17,2026-02-04
TXN00000152,ACC00000270,-1861.79,USD,debit,Payment - Ref#99304,processing,2026-02-04 15:42:17,2026-02-06
TXN00000153,ACC00001073,-3925.8,USD,debit,Mortgage Payment,processing,2026-01-31 15:42:17,2026-02-03
TXN00000154,ACC00000624,3501.1,USD,credit,Interest Payment,processing,2026-02-04 15:42:17,2026-02-05
TXN00000155,ACC00000670,5701.02,USD,credit,Wire Transfer In,processing,2026-01-30 15:42:17,2026-01-31
TXN00000156,ACC00000100,931.5,USD,credit,Transfer In - Savings,processing,2026-02-04 15:42:17,2026-02-07
TXN00000157,ACC00001063,6546.76,USD,credit,Direct Deposit - Payroll,pending,2026-01-31 15:42:17,2026-02-01
TXN00000158,ACC00000685,-7196.77,USD,debit,Bill Pay - Utilities,pending,2026-01-30 15:42:17,2026-02-01
TXN00000159,ACC00000406,-5632.53,USD,debit,Online Purchase,processing,2026-02-04 15:42:17,2026-02-07
TXN00000160,ACC00000906,2666.61,USD,credit,Transfer In - Savings,pending,2026-01-30 15:42:17,2026-02-01
TXN00000161,ACC00000006,-3710.84,USD,debit,Bill Pay - Utilities,pending,2026-02-03 15:42:17,2026-02-05
TXN00000162,ACC00000123,1194.13,USD,credit,Wire Transfer In,pending,2026-02-03 15:42:17,2026-02-06
TXN00000163,ACC00000341,4361.96,USD,credit,Cashback Reward,processing,2026-01-31 15:42:17,2026-02-02
TXN00000164,ACC00000298,-3971.09,USD,debit,Mortgage Payment,pending,2026-02-02 15:42:17,2026-02-03
TXN00000165,ACC00000067,-5268.41,USD,debit,Transfer Out - Checking,pending,2026-01-31 15:42:17,2026-02-02
TXN00000166,ACC00000019,7533.72,USD,credit,Interest Payment,processing,2026-02-02 15:42:17,2026-02-03
TXN00000167,ACC00000817,3524.11,USD,credit,Deposit - Ref#82811,pending,2026-01-30 15:42:17,2026-02-02
TXN00000168,ACC00000477,-6796.8,USD,debit,Transfer Out - Checking,processing,2026-02-01 15:42:17,2026-02-02
TXN00000169,ACC00000078,5843.71,USD,credit,Interest Payment,pending,2026-01-30 15:42:17,2026-01-31
TXN00000170,ACC00000674,5180.13,USD,credit,Wire Transfer In,pending,2026-02-03 15:42:17,2026-02-04
TXN00000171,ACC00000088,2148.95,USD,credit,Wire Transfer In,processing,2026-01-31 15:42:17,2026-02-01
TXN00000172,ACC00001038,5557.61,USD,credit,ACH Credit - Refund,processing,2026-02-01 15:42:17,2026-02-03
TXN00000173,ACC00001047,-3843.19,USD,debit,ACH Debit - Insurance,pending,2026-02-04 15:42:17,2026-02-05
TXN00000174,ACC00000852,-4963.0,USD,debit,ACH Debit - Insurance,processing,2026-01-31 15:42:17,2026-02-03
TXN00000175,ACC00000234,1019.99,USD,credit,Mobile Deposit,pending,2026-02-04 15:42:17,2026-02-07
TXN00000176,ACC00000609,1038.88,USD,credit,Interest Payment,pending,2026-02-01 15:42:17,2026-02-04
TXN00000177,ACC00000669,-7474.82,USD,debit,Mortgage Payment,pending,2026-02-01 15:42:17,2026-02-03
TXN00000178,ACC00001024,-2438.8,USD,debit,Wire Transfer Out,pending,2026-02-01 15:42:17,2026-02-03
TXN00000179,ACC00000399,-6159.63,USD,debit,Payment - Ref#49527,pending,2026-01-31 15:42:17,2026-02-01
TXN00000180,ACC00000285,7442.18,USD,credit,Interest Payment,processing,2026-02-03 15:42:17,2026-02-06
TXN00000181,ACC00000718,2126.97,USD,credit,Wire Transfer In,pending,2026-01-30 15:42:17,2026-01-31
TXN00000182,ACC00000874,2589.64,USD,credit,Deposit - Ref#84314,pending,2026-02-02 15:42:17,2026-02-03
TXN00000183,ACC00000654,3148.62,USD,credit,Deposit - Ref#98373,pending,2026-02-04 15:42:17,2026-02-06
TXN00000184,ACC00000549,25.02,USD,credit,Interest Payment,pending,2026-02-01 15:42:17,2026-02-03
TXN00000185,ACC00000096,3033.35,USD,credit,Direct Deposit - Payroll,pending,2026-02-04 15:42:17,2026-02-06
TXN00000186,ACC00000322,-5803.34,USD,debit,Payment - Ref#60241,pending,2026-01-30 15:42:17,2026-01-31
TXN00000187,ACC00001045,-3810.27,USD,debit,Bill Pay - Utilities,processing,2026-01-31 15:42:17,2026-02-01
TXN00000188,ACC00000378,-4945.03,USD,debit,Payment - Ref#49934,processing,2026-01-30 15:42:17,2026-01-31
TXN00000189,ACC00000192,-3769.79,USD,debit,Bill Pay - Utilities,pending,2026-01-30 15:42:17,2026-01-31
TXN00000190,ACC00000331,7979.76,USD,credit,Deposit - Ref#56265,pending,2026-02-02 15:42:17,2026-02-03
TXN00000191,ACC00000462,-6801.37,USD,debit,Rent Payment,processing,2026-02-01 15:42:17,2026-02-03
TXN00000192,ACC00000519,-5441.73,USD,debit,Online Purchase,pending,2026-02-01 15:42:17,2026-02-04
TXN00000193,ACC00000051,3583.15,USD,credit,Interest Payment,processing,2026-02-01 15:42:17,2026-02-02
TXN00000194,ACC00000523,5392.57,USD,credit,Interest Payment,processing,2026-01-31 15:42:17,2026-02-03
TXN00000195,ACC00000106,5822.36,USD,credit,Deposit - Ref#71716,pending,2026-02-03 15:42:17,2026-02-04
TXN00000196,ACC00000155,5029.1,USD,credit,Direct Deposit - Payroll,processing,2026-01-30 15:42:17,2026-02-01
TXN00000197,ACC00000305,7508.33,USD,credit,Cashback Reward,pending,2026-02-02 15:42:17,2026-02-03
TXN00000198,ACC00000333,-7122.47,USD,debit,Online Purchase,pending,2026-02-04 15:42:17,2026-02-07
TXN00000199,ACC00001019,-4856.09,USD,debit,Mortgage Payment,pending,2026-02-03 15:42:17,2026-02-05
TXN00000200,ACC00000463,-5961.98,USD,debit,Subscription Payment,pending,2026-01-30 15:42:17,2026-02-02
TXN00000201,ACC00000812,4902.28,USD,credit,Transfer In - Savings,processing,2026-02-01 15:42:17,2026-02-03
TXN00000202,ACC00000076,7986.91,USD,credit,ACH Credit - Refund,processing,2026-01-30 15:42:17,2026-01-31
TXN00000203,ACC00000749,-5994.19,USD,debit,Payment - Ref#64910,processing,2026-01-30 15:42:17,2026-01-31
TXN00000204,ACC00000077,-181.47,USD,debit,Subscription Payment,pending,2026-02-02 15:42:17,2026-02-04
TXN00000205,ACC00000403,695.57,USD,credit,Deposit - Ref#18265,pending,2026-02-02 15:42:17,2026-02-04
TXN00000206,ACC00000560,-1698.25,USD,debit,Payment - Ref#40714,processing,2026-02-04 15:42:17,2026-02-05
TXN00000207,ACC00000440,-3315.67,USD,debit,Payment - Ref#65328,pending,2026-01-30 15:42:17,2026-02-01
TXN00000208,ACC00000395,2804.34,USD,credit,Cashback Reward,processing,2026-02-04 15:42:17,2026-02-07
TXN00000209,ACC00000103,7603.81,USD,credit,Transfer In - Savings,processing,2026-02-02 15:42:17,2026-02-04
TXN00000210,ACC00000340,1786.13,USD,credit,Cashback Reward,processing,2026-02-02 15:42:17,2026-02-05
TXN00000211,ACC00000761,3017.21,USD,credit,ACH Credit - Refund,pending,2026-02-03 15:42:17,2026-02-06
TXN00000212,ACC00000816,-2597.51,USD,debit,Bill Pay - Utilities,processing,2026-02-02 15:42:17,2026-02-05
TXN00000213,ACC00000815,-2387.15,USD,debit,Payment - Ref#38968,processing,2026-02-03 15:42:17,2026-02-06
TXN00000214,ACC00001113,1572.58,USD,credit,ACH Credit - Refund,pending,2026-02-01 15:42:17,2026-02-04
TXN00000215,ACC00001070,3513.01,USD,credit,Wire Transfer In,pending,2026-02-04 15:42:17,2026-02-07
TXN00000216,ACC00000709,7041.35,USD,credit,Wire Transfer In,pending,2026-02-02 15:42:17,2026-02-04
TXN00000217,ACC00000880,-3174.69,USD,debit,Transfer Out - Checking,pending,2026-01-31 15:42:17,2026-02-02
TXN00000218,ACC00000800,-2790.01,USD,debit,Rent Payment,processing,2026-02-03 15:42:17,2026-02-05
TXN00000219,ACC00000054,-6149.31,USD,debit,Rent Payment,processing,2026-02-02 15:42:17,2026-02-03
TXN00000220,ACC00000717,-6627.56,USD,debit,Payment - Ref#17450,processing,2026-02-04 15:42:17,2026-02-06
TXN00000221,ACC00000295,4044.94,USD,credit,Mobile Deposit,processing,2026-02-03 15:42:17,2026-02-04
TXN00000222,ACC00000611,-1815.23,USD,debit,ACH Debit - Insurance,pending,2026-02-04 15:42:17,2026-02-07
TXN00000223,ACC00000668,-4165.97,USD,debit,ACH Debit - Insurance,processing,2026-02-04 15:42:17,2026-02-05
TXN00000224,ACC00000879,1418.32,USD,credit,Cashback Reward,processing,2026-01-30 15:42:17,2026-01-31
TXN00000225,ACC00001078,5919.83,USD,credit,Deposit - Ref#84978,processing,2026-01-30 15:42:17,2026-02-01
TXN00000226,ACC00000636,736.89,USD,credit,Mobile Deposit,pending,2026-01-31 15:42:17,2026-02-02
TXN00000227,ACC00000756,-4694.51,USD,debit,Rent Payment,processing,2026-02-04 15:42:17,2026-02-07
TXN00000228,ACC00000539,-2453.57,USD,debit,Online Purchase,processing,2026-02-03 15:42:17,2026-02-06
TXN00000229,ACC00000609,-7424.15,USD,debit,ACH Debit - Insurance,processing,2026-01-31 15:42:17,2026-02-02
TXN00000230,ACC00000763,2471.93,USD,credit,Mobile Deposit,processing,2026-02-02 15:42:17,2026-02-03
TXN00000231,ACC00000635,6993.62,USD,credit,Deposit - Ref#35350,pending,2026-02-04 15:42:17,2026-02-06
TXN00000232,ACC00000769,-243.22,USD,debit,Payment - Ref#25758,processing,2026-02-01 15:42:17,2026-02-02
TXN00000233,ACC00000385,-4268.28,USD,debit,Payment - Ref#77483,processing,2026-02-02 15:42:17,2026-02-05
TXN00000234,ACC00000236,-4177.97,USD,debit,Rent Payment,pending,2026-02-03 15:42:17,2026-02-04
TXN00000235,ACC00000146,414.4,USD,credit,ACH Credit - Refund,processing,2026-02-02 15:42:17,2026-02-03
TXN00000236,ACC00000543,-302.6,USD,debit,Online Purchase,processing,2026-02-04 15:42:17,2026-02-05
TXN00000237,ACC00000485,4231.86,USD,credit,Wire Transfer In,pending,2026-02-01 15:42:17,2026-02-04
TXN00000238,ACC00000652,-5128.19,USD,debit,Mortgage Payment,pending,2026-02-04 15:42:17,2026-02-05
TXN00000239,ACC00000169,1778.67,USD,credit,Cashback Reward,pending,2026-01-31 15:42:17,2026-02-03
TXN00000240,ACC00000461,2032.55,USD,credit,Deposit - Ref#69755,processing,2026-01-30 15:42:17,2026-01-31
TXN00000241,ACC00000238,-5230.3,USD,debit,Online Purchase,pending,2026-02-02 15:42:17,2026-02-03
TXN00000242,ACC00000944,-1141.82,USD,debit,Transfer Out - Checking,processing,2026-02-03 15:42:17,2026-02-06
TXN00000243,ACC00000337,7386.97,USD,credit,Direct Deposit - Payroll,processing,2026-02-02 15:42:17,2026-02-05
TXN00000244,ACC00000199,-3023.28,USD,debit,Online Purchase,processing,2026-02-02 15:42:17,2026-02-04
TXN00000245,ACC00000844,-7359.78,USD,debit,Subscription Payment,pending,2026-01-31 15:42:17,2026-02-02
TXN00000246,ACC00000409,-245.65,USD,debit,Transfer Out - Checking,processing,2026-02-02 15:42:17,2026-02-03
TXN00000247,ACC00000576,-6123.89,USD,debit,Transfer Out - Checking,processing,2026-02-03 15:42:17,2026-02-06
TXN00000248,ACC00000257,-2146.01,USD,debit,Mortgage Payment,processing,2026-02-01 15:42:17,2026-02-04
TXN00000249,ACC00000860,1691.12,USD,credit,Direct Deposit - Payroll,processing,2026-01-31 15:42:17,2026-02-03
TXN00000250,ACC00000083,-6017.74,USD,debit,Mortgage Payment,processing,2026-02-02 15:42:17,2026-02-05
TXN00000251,ACC00000519,-207.34,USD,debit,Online Purchase,processing,2026-02-02 15:42:17,2026-02-03
TXN00000252,ACC00000750,7206.29,USD,credit,Mobile Deposit,processing,2026-02-01 15:42:17,2026-02-02
TXN00000253,ACC00000044,-4400.48,USD,debit,Subscription Payment,processing,2026-02-03 15:42:17,2026-02-06
TXN00000254,ACC00000361,-4754.95,USD,debit,Bill Pay - Utilities,processing,2026-01-30 15:42:17,2026-02-02
TXN00000255,ACC00000875,4588.81,USD,credit,Cashback Reward,processing,2026-02-04 15:42:17,2026-02-07
