atm_id,branch_id,address,city,latitude,longitude,available_24h,withdrawal_fee,deposit_enabled,status
ATM0191,BR109,1783 Pine Road,Baltimore,38.207503,-95.138339,0,2.5,1,operational
ATM0192,BR023,9856 Chestnut Lane,Milwaukee,27.338006,-120.15438,0,3.0,0,operational
ATM0193,BR035,6883 Poplar Road,Raleigh,34.069174,-101.659253,0,3.0,1,operational
ATM0194,BR001,196 Redwood Place,Pittsburgh,31.495243,-95.024834,1,2.5,0,operational
ATM0195,BR098,7586 Willow Way,Cincinnati,35.986035,-119.978773,1,3.0,0,operational
ATM0196,BR018,4828 Poplar Road,Milwaukee,36.379113,-118.030777,0,3.5,0,operational
ATM0197,BR097,4433 Oak Avenue,Atlanta,32.226548,-71.654472,1,3.5,1,operational
ATM0198,BR031,1462 Aspen Circle,Nashville,40.730375,-88.725585,0,0,0,operational
ATM0199,BR047,3277 Redwood Place,Cleveland,29.910548,-73.996925,1,0,1,operational
ATM0200,BR096,3351 Chestnut Lane,Sacramento,44.293688,-76.372494,1,3.5,0,operational
ATM0201,BR016,3846 Cedar Lane,Memphis,47.943476,-79.69882,0,0,0,operational
ATM0202,BR048,525 Magnolia Street,Louisville,43.543286,-99.59874,1,3.0,1,operational
ATM0203,BR104,7511 Cedar Lane,Salt Lake City,25.893446,-121.738162,0,3.0,1,operational
ATM0204,BR003,1450 Poplar Road,Tampa,33.987745,-113.436967,1,3.0,0,operational
ATM0205,BR031,7443 Poplar Road,Tucson,35.184667,-121.207582,0,2.5,1,operational
ATM0206,BR001,6777 Magnolia Street,Tucson,46.05305,-86.196328,1,3.0,0,operational
ATM0207,BR031,9416 Cedar Lane,Raleigh,28.887837,-74.303354,0,3.5,1,operational
ATM0208,BR043,8334 Chestnut Lane,Salt Lake City,38.318604,-103.022156,0,3.5,1,operational
ATM0209,BR078,879 Maple Drive,Milwaukee,41.178567,-119.316072,1,0,1,maintenance
ATM0210,BR007,5661 Maple Drive,Tampa,31.861597,-73.011179,1,2.5,0,operational
