branch_id,branch_name,address,city,state,postal_code,phone,hours,services
BR071,Orlando Branch 71,5193 Hickory Drive,Orlando,FL,84609,+1-646-959-3420,"Mon-Fri 9AM-5PM, Sat 9AM-1PM","deposits,withdrawals,loans,investments"
BR072,Kansas City Branch 72,6417 Willow Way,Kansas City,MO,99027,+1-413-928-6411,"Mon-Fri 9AM-5PM, Sat 9AM-1PM","deposits,withdrawals,loans,investments"
BR073,Nashville Branch 73,2242 Spruce Terrace,Nashville,TN,27604,+1-855-999-1931,"Mon-Fri 9AM-5PM, Sat 9AM-1PM","deposits,withdrawals,loans,investments"
BR074,Atlanta Branch 74,3349 Chestnut Lane,Atlanta,GA,83171,+1-939-643-9868,"Mon-Fri 9AM-5PM, Sat 9AM-1PM","deposits,withdrawals,loans,investments"
BR075,Miami Branch 75,9109 Aspen Circle,Miami,FL,89776,+1-695-690-7434,"Mon-Fri 9AM-5PM, Sat 9AM-1PM","deposits,withdrawals,loans,investments"
BR076,Tampa Branch 76,1146 Cypress Path,Tampa,FL,58871,+1-913-725-5013,"Mon-Fri 9AM-5PM, Sat 9AM-1PM","deposits,withdrawals,loans,investments"
BR077,Cincinnati Branch 77,8186 Willow Way,Cincinnati,OH,50403,+1-296-151-3741,"Mon-Fri 9AM-5PM, Sat 9AM-1PM","deposits,withdrawals,loans,investments"
BR078,Baltimore Branch 78,759 Pine Road,Baltimore,MD,50829,+1-535-426-5350,"Mon-Fri 9AM-5PM, Sat 9AM-1PM","deposits,withdrawals,loans,investments"
BR079,Atlanta Branch 79,2810 Spruce Terrace,Atlanta,GA,81838,+1-272-616-1592,"Mon-Fri 9AM-5PM, Sat 9AM-1PM","deposits,withdrawals,loans,investments"
BR080,Memphis Branch 80,2664 Willow Way,Memphis,TN,36559,+1-322-597-5837,"Mon-Fri 9AM-5PM, Sat 9AM-1PM","deposits,withdrawals,loans,investments"
