loan_id,account_id,loan_type,principal,interest_rate,term_months,monthly_payment,outstanding,start_date,end_date,status
LOAN000641,ACC00002493,personal,8610.76,12.3,24,406.55,358.78,2023-03-20,2025-03-09,active
LOAN000642,ACC00002640,business,280349.03,8.21,12,24414.35,186899.35,2026-12-06,2027-12-01,active
LOAN000643,ACC00002678,business,296258.0,12.38,24,13998.52,209849.42,2023-08-06,2025-07-26,active
LOAN000644,ACC00002582,personal,44067.77,5.08,36,1322.33,15913.36,2023-05-23,2026-05-07,active
LOAN000645,ACC00002604,personal,29620.95,8.72,48,733.19,25301.23,2024-10-02,2028-09-11,active
LOAN000646,ACC00002621,business,410219.58,11.48,12,36347.8,341849.65,2025-07-19,2026-07-14,paid_off
LOAN000647,ACC00002590,mortgage,245240.62,7.3,240,1945.76,57222.81,2024-04-07,2043-12-24,active
LOAN000648,ACC00002657,personal,46265.57,11.67,48,1210.87,17349.59,2025-07-27,2029-07-06,active
LOAN000649,ACC00002454,business,360509.65,11.27,60,7886.98,42059.46,2023-04-13,2028-03-17,active
LOAN000650,ACC00002444,auto,55812.38,6.81,60,1100.16,6511.44,2023-07-04,2028-06-07,active
LOAN000651,ACC00002642,auto,59495.67,12.97,36,2003.78,13221.26,2026-04-24,2029-04-08,active
LOAN000652,ACC00002426,mortgage,764963.47,13.95,180,10161.65,501476.05,2024-11-01,2039-08-15,active
LOAN000653,ACC00002388,personal,19121.32,14.87,24,925.95,11950.83,2026-11-05,2028-10-25,active
LOAN000654,ACC00002627,auto,65600.93,5.78,60,1261.55,49200.7,2025-08-11,2030-07-16,active
LOAN000655,ACC00002583,auto,35882.56,6.22,60,697.39,27509.96,2026-03-24,2031-02-26,paid_off
LOAN000656,ACC00002619,auto,75583.5,5.52,60,1444.43,45350.1,2026-09-06,2031-08-11,active
LOAN000657,ACC00002564,mortgage,640367.36,14.18,360,7678.86,263262.14,2026-12-17,2056-07-12,active
LOAN000658,ACC00002668,mortgage,392087.42,11.21,180,4508.29,209113.29,2025-08-25,2040-06-07,active
LOAN000659,ACC00002353,personal,15212.86,7.06,60,301.66,4817.41,2025-08-21,2030-07-26,active
LOAN000660,ACC00002602,business,416879.75,12.49,36,13944.14,382139.77,2023-03-12,2026-02-24,paid_off
LOAN000661,ACC00002553,personal,25224.79,7.74,60,508.33,9669.5,2026-12-26,2031-11-30,paid_off
LOAN000662,ACC00002537,auto,78873.42,13.26,36,2667.45,74491.56,2026-12-31,2029-12-15,active
LOAN000663,ACC00002439,mortgage,711908.22,9.8,180,7563.33,276853.2,2024-11-02,2039-08-16,paid_off
LOAN000664,ACC00002396,auto,23644.33,13.07,72,475.51,9851.8,2026-05-24,2032-04-22,active
LOAN000665,ACC00002643,mortgage,444991.58,10.14,180,4820.09,158219.23,2026-01-29,2040-11-11,active
LOAN000666,ACC00002497,auto,43384.03,4.8,48,995.18,23499.68,2026-02-15,2030-01-25,active
LOAN000667,ACC00002695,auto,21535.41,13.57,36,731.54,19142.59,2025-12-07,2028-11-21,active
LOAN000668,ACC00002514,mortgage,678449.22,13.14,180,8646.62,290225.5,2025-09-04,2040-06-17,active
LOAN000669,ACC00002670,business,297609.67,6.86,24,13305.87,223207.25,2025-12-15,2027-12-05,active
LOAN000670,ACC00002422,auto,24171.08,7.76,60,487.33,2014.26,2023-05-19,2028-04-22,active
LOAN000671,ACC00002552,mortgage,450835.95,11.46,180,5255.16,0.0,2023-05-14,2038-02-24,paid_off
LOAN000672,ACC00002452,business,389311.8,11.27,60,8517.1,207632.96,2023-10-10,2028-09-13,active
LOAN000673,ACC00002447,mortgage,570174.1,11.26,180,6573.97,256578.34,2024-02-13,2038-11-26,active
LOAN000674,ACC00002692,auto,49965.05,4.57,72,794.76,693.96,2023-01-03,2028-12-02,active
LOAN000675,ACC00002504,business,107173.89,9.53,36,3434.6,53586.94,2024-08-13,2027-07-29,paid_off
LOAN000676,ACC00002692,mortgage,281949.53,4.3,360,1395.29,66571.42,2026-06-08,2056-01-02,active
LOAN000677,ACC00002682,auto,63434.23,5.04,48,1462.0,39646.39,2025-06-16,2029-05-26,active
LOAN000678,ACC00002434,auto,14814.24,14.62,36,510.79,5349.59,2025-07-04,2028-06-18,active
LOAN000679,ACC00002616,mortgage,874340.45,12.04,240,9651.64,863411.19,2024-10-22,2044-07-09,active
