transaction_id,account_id,amount,currency,transaction_type,description,status,created_date,expected_clear
TXN00000351,ACC00000094,-2710.65,USD,debit,Mortgage Payment,processing,2026-02-03 15:44:15,2026-02-06
TXN00000352,ACC00000369,-7758.07,USD,debit,Online Purchase,pending,2026-02-04 15:44:15,2026-02-06
TXN00000353,ACC00000142,4251.13,USD,credit,ACH Credit - Refund,pending,2026-02-01 15:44:15,2026-02-02
TXN00000354,ACC00000004,-7988.59,USD,debit,Subscription Payment,pending,2026-02-01 15:44:15,2026-02-03
TXN00000355,ACC00000402,710.17,USD,credit,ACH Credit - Refund,processing,2026-02-04 15:44:15,2026-02-05
TXN00000356,ACC00000143,4732.64,USD,credit,Wire Transfer In,processing,2026-01-31 15:44:15,2026-02-01
TXN00000357,ACC00000033,5728.15,USD,credit,Mobile Deposit,processing,2026-02-02 15:44:15,2026-02-03
TXN00000358,ACC00000212,4930.37,USD,credit,Cashback Reward,pending,2026-02-03 15:44:15,2026-02-05
TXN00000359,ACC00000546,-166.68,USD,debit,Rent Payment,pending,2026-01-30 15:44:15,2026-01-31
TXN00000360,ACC00000003,6405.96,USD,credit,Wire Transfer In,processing,2026-02-03 15:44:15,2026-02-06
TXN00000361,ACC00000685,-7639.72,USD,debit,Transfer Out - Checking,processing,2026-01-30 15:44:15,2026-01-31
TXN00000362,ACC00001375,-5793.72,USD,debit,Transfer Out - Checking,pending,2026-01-30 15:44:15,2026-01-31
TXN00000363,ACC00001466,6105.52,USD,credit,Wire Transfer In,processing,2026-02-02 15:44:15,2026-02-05
TXN00000364,ACC00000772,-6396.24,USD,debit,ACH Debit - Insurance,processing,2026-01-31 15:44:15,2026-02-02
TXN00000365,ACC00000857,-6596.07,USD,debit,ACH Debit - Insurance,processing,2026-02-03 15:44:15,2026-02-05
TXN00000366,ACC00000125,1330.25,USD,credit,Deposit - Ref#82931,processing,2026-02-02 15:44:15,2026-02-04
TXN00000367,ACC00000642,-3235.29,USD,debit,Bill Pay - Utilities,pending,2026-02-03 15:44:15,2026-02-04
TXN00000368,ACC00001096,-5624.82,USD,debit,Rent Payment,processing,2026-02-04 15:44:15,2026-02-05
TXN00000369,ACC00000152,2812.79,USD,credit,Deposit - Ref#81191,processing,2026-02-04 15:44:15,2026-02-07
TXN00000370,ACC00000791,-6772.6,USD,debit,Bill Pay - Utilities,pending,2026-02-04 15:44:15,2026-02-05
TXN00000371,ACC00000144,7791.98,USD,credit,Interest Payment,processing,2026-02-02 15:44:15,2026-02-04
TXN00000372,ACC00000502,435.33,USD,credit,Direct Deposit - Payroll,pending,2026-01-31 15:44:15,2026-02-02
