loan_id,account_id,loan_type,principal,interest_rate,term_months,monthly_payment,outstanding,start_date,end_date,status
LOAN000001,ACC00000559,personal,12194.85,12.39,60,273.68,1422.73,2024-09-30,2029-09-04,active
LOAN000002,ACC00000466,business,107977.63,9.21,24,4943.34,94480.43,2021-09-01,2023-08-22,paid_off
LOAN000003,ACC00000699,business,160577.47,5.33,24,7068.51,86979.46,2022-07-15,2024-07-04,paid_off
LOAN000004,ACC00000688,personal,10859.67,6.09,12,935.1,1809.94,2025-07-18,2026-07-13,paid_off
LOAN000005,ACC00000695,business,492326.14,10.69,60,10628.41,352833.73,2024-07-16,2029-06-20,active
LOAN000006,ACC00000203,mortgage,632781.55,8.62,360,4919.46,534348.86,2021-01-26,2050-08-22,active
LOAN000007,ACC00000219,auto,28117.69,6.05,48,660.99,12301.49,2025-04-29,2029-04-08,active
LOAN000008,ACC00000788,business,476658.95,11.28,12,42190.19,397215.79,2023-06-22,2024-06-16,active
LOAN000009,ACC00000763,mortgage,806885.23,13.66,180,10561.94,524475.4,2024-12-15,2039-09-28,defaulted
LOAN000010,ACC00000156,mortgage,773706.5,7.62,240,6289.82,12895.11,2021-01-26,2040-10-13,active
LOAN000011,ACC00000763,mortgage,847645.74,11.99,180,10167.72,4709.14,2020-09-17,2035-07-01,paid_off
LOAN000012,ACC00000152,business,441775.11,12.14,24,20824.78,147258.37,2025-02-13,2027-02-03,active
LOAN000013,ACC00000378,auto,73201.97,9.63,36,2349.33,44734.54,2021-01-07,2023-12-23,paid_off
LOAN000014,ACC00000580,mortgage,937913.9,6.15,180,7990.86,411639.99,2021-05-22,2036-03-04,active
LOAN000015,ACC00000797,personal,17780.22,13.16,36,600.46,17286.33,2025-07-14,2028-06-28,active
LOAN000016,ACC00000061,business,497064.56,12.75,36,16688.28,207110.23,2024-01-21,2027-01-05,active
LOAN000017,ACC00000043,business,302777.76,9.05,60,6292.52,282592.58,2021-03-07,2026-02-09,paid_off
LOAN000018,ACC00000535,business,325364.23,9.14,24,14885.09,189795.8,2025-02-15,2027-02-05,active
