transaction_id,account_id,amount,currency,transaction_type,description,status,created_date,expected_clear
TXN00000001,ACC00000294,2709.15,USD,credit,Deposit - Ref#78465,processing,2026-01-31 14:24:49,2026-02-01
TXN00000002,ACC00000252,3015.62,USD,credit,Deposit - Ref#31525,processing,2026-01-31 14:24:49,2026-02-01
TXN00000003,ACC00000040,4811.43,USD,credit,Deposit - Ref#38783,processing,2026-01-31 14:24:49,2026-02-02
TXN00000004,ACC00000286,2832.1,USD,credit,Deposit - Ref#69822,processing,2026-02-02 14:24:49,2026-02-04
TXN00000005,ACC00000407,-1005.5,USD,debit,Payment - Ref#92203,pending,2026-02-02 14:24:49,2026-02-04
TXN00000006,ACC00000130,-4823.38,USD,debit,Payment - Ref#60091,pending,2026-02-02 14:24:49,2026-02-04
TXN00000007,ACC00000717,1734.42,USD,credit,Deposit - Ref#21597,processing,2026-02-04 14:24:49,2026-02-06
TXN00000008,ACC00000460,4117.88,USD,credit,Deposit - Ref#54675,processing,2026-02-04 14:24:49,2026-02-07
TXN00000009,ACC00000141,-2078.46,USD,debit,Payment - Ref#65181,pending,2026-01-31 14:24:49,2026-02-01
TXN00000010,ACC00000164,-132.47,USD,debit,Payment - Ref#61955,pending,2026-02-02 14:24:49,2026-02-03
TXN00000011,ACC00000379,-2411.2,USD,debit,Payment - Ref#32071,processing,2026-01-31 14:24:49,2026-02-03
TXN00000012,ACC00000614,1355.55,USD,credit,Deposit - Ref#44691,processing,2026-02-04 14:24:49,2026-02-05
TXN00000013,ACC00000739,-545.67,USD,debit,Payment - Ref#62759,processing,2026-01-30 14:24:49,2026-02-01
TXN00000014,ACC00000033,174.15,USD,credit,Deposit - Ref#61958,pending,2026-02-02 14:24:49,2026-02-04
TXN00000015,ACC00000220,-1283.77,USD,debit,Payment - Ref#67203,processing,2026-02-04 14:24:49,2026-02-05
TXN00000016,ACC00000547,663.35,USD,credit,Deposit - Ref#67861,pending,2026-02-04 14:24:49,2026-02-06
TXN00000017,ACC00000114,-2097.39,USD,debit,Payment - Ref#85044,processing,2026-01-31 14:24:49,2026-02-01
TXN00000018,ACC00000381,4369.2,USD,credit,Deposit - Ref#93047,pending,2026-02-03 14:24:49,2026-02-05
TXN00000019,ACC00000480,1645.38,USD,credit,Deposit - Ref#42277,processing,2026-02-01 14:24:49,2026-02-04
TXN00000020,ACC00000701,-451.14,USD,debit,Payment - Ref#69924,processing,2026-02-02 14:24:49,2026-02-05
TXN00000021,ACC00000439,-2843.13,USD,debit,Payment - Ref#36873,pending,2026-02-04 14:24:49,2026-02-06
TXN00000022,ACC00000299,-3718.66,USD,debit,Payment - Ref#68099,pending,2026-01-30 14:24:49,2026-02-02
TXN00000023,ACC00000700,2445.95,USD,credit,Deposit - Ref#56821,pending,2026-01-30 14:24:49,2026-02-01
TXN00000024,ACC00000254,3869.49,USD,credit,Deposit - Ref#82826,processing,2026-02-02 14:24:49,2026-02-03
TXN00000025,ACC00000132,-3245.41,USD,debit,Payment - Ref#11989,pending,2026-01-30 14:24:49,2026-01-31
TXN00000026,ACC00000414,-3639.47,USD,debit,Payment - Ref#71196,pending,2026-01-31 14:24:49,2026-02-01
TXN00000027,ACC00000520,-4657.74,USD,debit,Payment - Ref#35177,processing,2026-01-31 14:24:49,2026-02-03
TXN00000028,ACC00000206,4959.07,USD,credit,Deposit - Ref#19077,pending,2026-02-01 14:24:49,2026-02-03
TXN00000029,ACC00000236,3697.34,USD,credit,Deposit - Ref#93820,processing,2026-02-01 14:24:49,2026-02-03
TXN00000030,ACC00000459,-1434.01,USD,debit,Payment - Ref#25785,processing,2026-02-01 14:24:49,2026-02-04
TXN00000031,ACC00000298,-2657.95,USD,debit,Payment - Ref#62571,pending,2026-02-03 14:24:49,2026-02-05
TXN00000032,ACC00000019,-3592.28,USD,debit,Payment - Ref#35688,pending,2026-02-03 14:24:49,2026-02-06
TXN00000033,ACC00000506,-4890.59,USD,debit,Payment - Ref#66819,pending,2026-01-30 14:24:49,2026-02-02
TXN00000034,ACC00000110,-1432.45,USD,debit,Payment - Ref#25960,pending,2026-01-31 14:24:49,2026-02-03
TXN00000035,ACC00000630,1745.97,USD,credit,Deposit - Ref#83732,processing,2026-01-30 14:24:49,2026-02-02
TXN00000036,ACC00000552,1555.15,USD,credit,Deposit - Ref#53119,processing,2026-01-30 14:24:49,2026-02-02
TXN00000037,ACC00000730,-673.89,USD,debit,Payment - Ref#19219,pending,2026-02-01 14:24:49,2026-02-02
TXN00000038,ACC00000535,-1661.68,USD,debit,Payment - Ref#73981,pending,2026-01-30 14:24:49,2026-02-01
TXN00000039,ACC00000033,3781.15,USD,credit,Deposit - Ref#12700,pending,2026-02-02 14:24:49,2026-02-03
TXN00000040,ACC00000693,-1662.47,USD,debit,Payment - Ref#66837,processing,2026-01-30 14:24:49,2026-02-02
TXN00000041,ACC00000128,2029.57,USD,credit,Deposit - Ref#24468,pending,2026-01-30 14:24:49,2026-01-31
TXN00000042,ACC00000107,669.61,USD,credit,Deposit - Ref#56299,processing,2026-02-04 14:24:49,2026-02-07
TXN00000043,ACC00000036,-2584.09,USD,debit,Payment - Ref#71867,processing,2026-01-30 14:24:49,2026-02-02
TXN00000044,ACC00000712,866.18,USD,credit,Deposit - Ref#76221,processing,2026-02-01 14:24:49,2026-02-03
